import_importtariff_&_tax_item,import_rate,import_applicable_country,import_note,hs10digit,conventional_fta_conventional_duty,conventional_rate,conventional_fta_code,conventional_applicable_country,export_exporttariff_&_tax_item,export_rate,export_applicable_rate,export_applicable_country,export_importtariff_&_tax_item,export_note
,,,,0106122900,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106122900,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106122900,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106122900,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0106122900,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106122900,,,,,Export Duty,0.0%,,China,,
,,,,0106122900,,,,,Interim Export Duty,,or.,China,,
,,,,0106122900,,,,,Export VAT,9.0%,,China,,
,,,,0106122900,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0106122900,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106131010,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0106131010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106131010,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0106131010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106131010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106131010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106131010,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0106131010,,,,,,,,,,
,,,,0106131010,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106131010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106131010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0106131010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0106131010,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106131010,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106131010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106131010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106131010,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0106131010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106131010,,,,,Export Duty,0.0%,,China,,
,,,,0106131010,,,,,Interim Export Duty,,or.,China,,
,,,,0106131010,,,,,Export VAT,9.0%,,China,,
,,,,0106131010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0106131010,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106131090,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0106131090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106131090,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0106131090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106131090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106131090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106131090,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0106131090,,,,,,,,,,
,,,,0106131090,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106131090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106131090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0106131090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0106131090,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106131090,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106131090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106131090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106131090,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0106131090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106131090,,,,,Export Duty,0.0%,,China,,
,,,,0106131090,,,,,Interim Export Duty,,or.,China,,
,,,,0106131090,,,,,Export VAT,9.0%,,China,,
,,,,0106131090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0106131090,,,,,,,,,,
General Duty,50.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106139010,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0106139010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106139010,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0106139010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106139010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106139010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106139010,,,,,,,,,,
China additional retaliatory tariff on USA,2.5%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",2.5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由5%调整为2.5%）,0106139010,,,,,,,,,,
,,,,0106139010,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106139010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106139010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0106139010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0106139010,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106139010,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106139010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106139010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106139010,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0106139010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106139010,,,,,Export Duty,0.0%,,China,,
,,,,0106139010,,,,,Interim Export Duty,,or.,China,,
,,,,0106139010,,,,,Export VAT,9.0%,,China,,
,,,,0106139010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0106139010,,,,,,,,,,
General Duty,50.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106139090,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0106139090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106139090,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0106139090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106139090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106139090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106139090,,,,,,,,,,
China additional retaliatory tariff on USA,2.5%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",2.5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由5%调整为2.5%）,0106139090,,,,,,,,,,
,,,,0106139090,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106139090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106139090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0106139090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0106139090,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106139090,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106139090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106139090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106139090,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0106139090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106139090,,,,,Export Duty,0.0%,,China,,
,,,,0106139090,,,,,Interim Export Duty,,or.,China,,
,,,,0106139090,,,,,Export VAT,9.0%,,China,,
,,,,0106139090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0106139090,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106141010,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0106141010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106141010,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0106141010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106141010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106141010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106141010,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0106141010,,,,,,,,,,
,,,,0106141010,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106141010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106141010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0106141010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0106141010,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106141010,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106141010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106141010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106141010,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0106141010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106141010,,,,,Export Duty,0.0%,,China,,
,,,,0106141010,,,,,Interim Export Duty,,or.,China,,
,,,,0106141010,,,,,Export VAT,9.0%,,China,,
,,,,0106141010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0106141010,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106141090,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0106141090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106141090,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0106141090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106141090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106141090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106141090,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0106141090,,,,,,,,,,
,,,,0106141090,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106141090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106141090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0106141090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0106141090,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106141090,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106141090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106141090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106141090,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0106141090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106141090,,,,,Export Duty,0.0%,,China,,
,,,,0106141090,,,,,Interim Export Duty,,or.,China,,
,,,,0106141090,,,,,Export VAT,9.0%,,China,,
,,,,0106141090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0106141090,,,,,,,,,,
General Duty,50.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106149010,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0106149010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106149010,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0106149010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106149010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106149010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106149010,,,,,,,,,,
China additional retaliatory tariff on USA,2.5%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",2.5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由5%调整为2.5%）,0106149010,,,,,,,,,,
,,,,0106149010,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106149010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106149010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0106149010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0106149010,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106149010,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106149010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106149010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106149010,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0106149010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106149010,,,,,Export Duty,0.0%,,China,,
,,,,0106149010,,,,,Interim Export Duty,,or.,China,,
,,,,0106149010,,,,,Export VAT,9.0%,,China,,
,,,,0106149010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0106149010,,,,,,,,,,
General Duty,50.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106149090,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0106149090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106149090,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0106149090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106149090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106149090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106149090,,,,,,,,,,
China additional retaliatory tariff on USA,2.5%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",2.5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由5%调整为2.5%）,0106149090,,,,,,,,,,
,,,,0106149090,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106149090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106149090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0106149090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0106149090,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106149090,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106149090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106149090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106149090,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0106149090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106149090,,,,,Export Duty,0.0%,,China,,
,,,,0106149090,,,,,Interim Export Duty,,or.,China,,
,,,,0106149090,,,,,Export VAT,9.0%,,China,,
,,,,0106149090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0106149090,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106191010,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0106191010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106191010,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0106191010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106191010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106191010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106191010,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0106191010,,,,,,,,,,
,,,,0106191010,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106191010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106191010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0106191010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0106191010,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106191010,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0106191010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0106191010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0106191010,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0106191010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0106191010,,,,,Export Duty,0.0%,,China,,
,,,,0106191010,,,,,Interim Export Duty,,or.,China,,
,,,,0106191010,,,,,Export VAT,9.0%,,China,,
,,,,0106191010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0106191010,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0106191090,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0106191090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0106191090,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0106191090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0106191090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0106191090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0106191090,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0106191090,,,,,,,,,,
,,,,0106191090,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0106191090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0106191090,India,,IN,Free Trade Area Nation with China,,,,,,
